cause,count,date
Debris Burning,1713,01-2012
Debris Burning,1461,02-2012
Debris Burning,2791,03-2012
Debris Burning,1956,04-2012
Debris Burning,1304,05-2012
Debris Burning,1299,06-2012
Debris Burning,1009,07-2012
Debris Burning,820,08-2012
Debris Burning,753,09-2012
Debris Burning,1046,10-2012
Debris Burning,1713,11-2012
Debris Burning,748,12-2012
Debris Burning,1420,01-2013
Debris Burning,1457,02-2013
Debris Burning,3474,03-2013
Debris Burning,2535,04-2013
Debris Burning,1514,05-2013
Debris Burning,884,06-2013
Debris Burning,933,07-2013
Debris Burning,830,08-2013
Debris Burning,856,09-2013
Debris Burning,795,10-2013
Debris Burning,1299,11-2013
Debris Burning,706,12-2013
Debris Burning,2473,01-2014
Debris Burning,2081,02-2014
Debris Burning,4383,03-2014
Debris Burning,3729,04-2014
Debris Burning,1441,05-2014
Debris Burning,620,06-2014
Debris Burning,777,07-2014
Debris Burning,826,08-2014
Debris Burning,565,09-2014
Debris Burning,846,10-2014
Debris Burning,1382,11-2014
Debris Burning,737,12-2014
Debris Burning,1753,01-2015
Debris Burning,2179,02-2015
Debris Burning,3512,03-2015
Debris Burning,2797,04-2015
Debris Burning,1612,05-2015
Debris Burning,667,06-2015
Debris Burning,841,07-2015
Debris Burning,1132,08-2015
Debris Burning,1054,09-2015
Debris Burning,1494,10-2015
Debris Burning,921,11-2015
Debris Burning,377,12-2015
Equipment Use,301,01-1992
Equipment Use,294,02-1992
Equipment Use,403,03-1992
Equipment Use,488,04-1992
Equipment Use,906,05-1992
Equipment Use,692,06-1992
Equipment Use,760,07-1992
Equipment Use,648,08-1992
Equipment Use,476,09-1992
Equipment Use,368,10-1992
Equipment Use,158,11-1992
